fipstate,naics,emp,qp1,ap,est,year
2,561///,8951,54383,252001,893,1998
2,562///,930,9258,37674,98,1998
2,611///,2485,11147,45712,200,1998
2,621///,7855,68078,319067,1076,1998
2,622///,13121,138863,578673,28,1998
2,623///,1882,11013,43577,98,1998
2,624///,6061,27900,119761,407,1998
2,711///,282,1063,5789,63,1998
2,712///,121,620,3269,27,1998
2,713///,2512,6404,31832,342,1998
2,721///,4725,20567,106860,422,1998
2,722///,15361,49099,236607,1328,1998
2,811///,2572,16451,71064,539,1998
2,812///,1960,7537,32854,360,1998
2,813///,5459,25229,107647,850,1998
4,113///,0,0,0,28,1998
4,114///,0,0,0,2,1998
4,115///,1870,10147,39481,190,1998
4,211///,0,0,0,15,1998
4,212///,13426,134633,561272,149,1998
4,213///,0,0,0,47,1998
4,221///,10923,171311,634307,262,1998
4,233///,29231,234616,1034670,3652,1998
4,234///,14892,105949,508374,554,1998
4,235///,99250,565306,2648686,7770,1998
4,311///,8964,55404,225849,260,1998
4,312///,1680,10378,46770,37,1998
4,313///,583,2646,15644,25,1998
4,314///,1003,4624,21227,90,1998
4,315///,1620,6431,24807,91,1998
4,316///,183,818,3199,31,1998
4,321///,8419,65641,236806,201,1998
4,322///,3348,29299,121862,37,1998
4,323///,9319,60702,263074,683,1998
4,324///,365,3238,15755,24,1998
4,325///,6738,51739,218916,174,1998
4,326///,8530,56296,248686,236,1998
4,327///,7467,52609,225893,266,1998
4,331///,6895,63178,253903,76,1998
4,332///,21993,161668,689895,859,1998
4,333///,10164,82806,333028,316,1998
4,334///,47593,593041,2415267,363,1998
4,335///,4634,35222,146451,88,1998
4,336///,33056,396345,1589972,238,1998
4,337///,7989,40724,182965,371,1998
4,339///,9073,65064,285482,533,1998
4,421///,53023,497331,2098208,4595,1998
4,422///,31608,252486,1077252,2199,1998
4,441///,37179,279038,1206259,1873,1998
4,442///,9516,50666,220523,1187,1998
4,443///,6423,34361,146344,717,1998
4,444///,17827,101775,437611,1213,1998
4,445///,45853,210353,836965,1601,1998
4,446///,15469,62386,250451,1096,1998
4,447///,18204,61919,263145,1744,1998
4,448///,18673,60662,260946,2362,1998
4,451///,10575,33974,142795,1169,1998
4,452///,37209,131811,529432,406,1998
4,453///,16341,57703,242261,2414,1998
4,454///,7823,47513,197984,700,1998
4,481///,14947,135615,535155,89,1998
4,483///,0,0,0,2,1998
4,484///,22521,148270,679434,1261,1998
4,485///,4014,18804,81009,163,1998
4,486///,0,0,0,18,1998
4,487///,0,0,0,31,1998
4,488///,5916,44144,199383,500,1998
4,492///,8976,65749,270787,218,1998
4,493///,864,4980,18471,81,1998
4,511///,14159,138363,564970,611,1998
4,512///,3913,11806,50413,284,1998
4,513///,24942,246420,1033789,744,1998
4,514///,4181,39050,167132,236,1998
4,522///,51272,443019,1771021,2656,1998
4,523///,7441,120231,471167,913,1998
4,524///,33120,324240,1385934,3160,1998
4,525///,299,7267,19205,40,1998
4,531///,23910,155790,667918,4573,1998
4,532///,12203,67867,292535,1093,1998
4,533///,229,2097,9701,25,1998
4,541///,98547,787589,3636335,11306,1998
4,551///,40770,594208,2124913,809,1998
4,561///,175822,804389,3468844,6712,1998
4,562///,3006,22607,97720,228,1998
4,611///,20648,100988,429291,1152,1998
4,621///,69520,590941,2742506,7941,1998
4,622///,63946,460028,1910892,97,1998
4,623///,30567,134202,553266,984,1998
4,624///,26077,87051,366111,1697,1998
4,711///,5332,58888,281708,427,1998
4,712///,1452,6792,27904,89,1998
4,713///,24656,87718,370093,880,1998
4,721///,41803,156518,644689,1208,1998
4,722///,145959,351108,1446805,7911,1998
4,811///,25256,143043,614541,4123,1998
4,812///,20182,74422,315086,2700,1998
4,813///,28139,105657,456955,3105,1998
5,113///,3609,16382,74509,670,1998
5,114///,0,0,0,8,1998
5,115///,0,0,0,320,1998
5,211///,626,6576,22561,97,1998
5,212///,1221,9046,37879,77,1998
5,213///,1203,8671,29114,104,1998
5,221///,7783,87556,353521,352,1998
5,233///,10770,57844,275501,1660,1998
5,234///,8054,49669,226003,533,1998
5,235///,24651,124427,596360,3528,1998
5,311///,51155,245367,1032105,312,1998
5,312///,0,0,0,20,1998
5,313///,0,0,0,17,1998
5,314///,2189,14186,56859,63,1998
5,315///,7723,30900,128159,80,1998
5,316///,2603,10130,46739,26,1998
5,321///,15613,93441,388035,409,1998
5,322///,13057,128755,522523,79,1998
5,323///,4759,32470,139555,280,1998
5,324///,1044,10097,41739,29,1998
5,325///,7271,61177,265959,112,1998
5,326///,13907,96259,404619,176,1998
5,327///,5026,33751,142258,215,1998
5,331///,9347,81870,327958,55,1998
5,332///,23046,159895,694009,495,1998
5,333///,18381,116290,495895,258,1998
5,334///,4720,26805,109028,55,1998
5,335///,15043,93983,414040,76,1998
5,336///,15788,95228,405818,142,1998
5,337///,12224,63995,262818,219,1998
5,339///,7896,44498,194391,223,1998
5,421///,22522,158931,676822,2329,1998
5,422///,19948,131720,554425,1268,1998
5,441///,16590,96863,428796,1699,1998
5,442///,3626,16382,71415,649,1998
5,443///,2481,11167,47976,455,1998
5,444///,12269,62072,259868,1215,1998
5,445///,26512,67819,282890,1448,1998
5,446///,6427,26482,114548,820,1998
5,447///,13440,35418,153373,1754,1998
5,448///,9527,26506,108741,1355,1998
5,451///,3910,11716,48833,570,1998
5,452///,29799,105752,401522,599,1998
5,453///,6169,19374,91199,1463,1998
5,454///,3384,14625,62993,421,1998
5,481///,2099,12897,37288,49,1998
5,483///,179,958,4449,5,1998
5,484///,28328,196293,847309,1826,1998
5,485///,872,3145,13097,63,1998
5,486///,213,2810,10796,20,1998
5,487///,65,144,1049,12,1998
5,488///,2590,16856,75402,273,1998
5,492///,3462,38843,157074,89,1998
5,493///,1505,8233,34413,103,1998
5,511///,7080,36628,154899,209,1998
5,512///,1290,3314,14056,115,1998
5,513///,9402,87179,350476,521,1998
5,514///,2353,27409,121941,73,1998
5,521///,0,0,0,1,1998
5,522///,18991,124091,503265,1536,1998
5,523///,0,0,0,357,1998
5,524///,10403,79856,335641,1626,1998
5,525///,0,0,0,15,1998
5,531///,5500,24785,110021,1586,1998
5,532///,4319,18992,74819,675,1998
5,533///,47,229,1153,11,1998
5,541///,27689,203780,907143,4654,1998
5,551///,21784,259133,904761,420,1998
5,561///,49333,167639,762955,2030,1998
5,562///,2092,13030,56132,174,1998
5,611///,10004,34284,144846,463,1998
5,621///,36372,286941,1299662,3962,1998
5,622///,51115,312869,1333230,102,1998
5,623///,24722,85278,351660,507,1998
5,624///,17920,48322,202938,1288,1998
5,711///,1830,5991,20745,127,1998
5,712///,247,817,4231,55,1998
5,713///,5133,13229,66953,624,1998
5,721///,10340,24220,113385,702,1998
5,722///,63222,124524,543878,3907,1998
5,811///,9834,46005,195782,2183,1998
5,812///,9242,31560,136142,1375,1998
5,813///,20740,58031,247756,3205,1998
6,113///,3442,19809,142134,536,1998
6,114///,766,5600,28998,212,1998
6,115///,21945,117933,555101,1636,1998
6,211///,4820,73921,273421,237,1998
6,212///,7332,80235,356921,346,1998
6,213///,9689,95320,352139,342,1998
6,221///,51975,844716,2913287,874,1998
6,233///,150031,1250929,5806240,21104,1998
6,234///,68231,641146,3149119,3383,1998
6,235///,403460,2857837,13717846,39621,1998
6,311///,147733,974927,4367532,3667,1998
6,312///,29106,246448,1083018,639,1998
6,313///,13140,70733,318297,483,1998
6,314///,20299,110745,459982,924,1998
6,315///,132720,541610,2358169,5354,1998
6,316///,7116,33000,144500,242,1998
6,321///,39230,241876,1067779,1245,1998
6,322///,34358,301946,1292848,578,1998
6,323///,84116,661867,2833985,5312,1998
6,324///,12922,197384,784227,200,1998
6,325///,64795,738439,3015442,1588,1998
6,326///,90803,639783,2735506,2038,1998
6,327///,44417,347805,1597379,1552,1998
6,331///,25891,219742,895349,513,1998
6,332///,196761,1587263,6747529,8260,1998
6,333///,106612,1121790,4597292,3093,1998
6,334///,384077,5398306,23080804,4320,1998
6,335///,42064,387094,1592585,996,1998
6,336///,177424,2145348,8828407,1682,1998
6,337///,67868,390075,1718874,2751,1998
6,339///,105898,890617,3833956,4613,1998
6,421///,468205,5178061,21802811,35932,1998
6,422///,301412,2505291,10645532,22160,1998
6,441///,183467,1445750,6430878,11003,1998
6,442///,53602,283512,1249819,6702,1998
6,443///,47708,285272,1286452,5318,1998
6,444///,101208,620358,2726600,7136,1998
6,445///,273410,1317782,5484201,15481,1998
6,446///,99998,495503,2038316,8345,1998
6,447///,68614,225027,959146,8717,1998
6,448///,139652,531674,2241015,16504,1998
6,451///,75393,254115,1062501,7596,1998
6,452///,213541,781569,3281186,2397,1998
6,453///,87593,300580,1313550,13418,1998
6,454///,38274,239745,1030316,3637,1998
6,481///,73939,777038,3057948,584,1998
6,483///,7372,72833,301716,113,1998
6,484///,110422,735978,3356907,8295,1998
6,485///,29863,133182,576378,1215,1998
6,486///,9468,123800,464066,182,1998
6,487///,3328,11974,60601,277,1998
6,488///,60834,601253,2420970,4027,1998
6,492///,76155,494495,2022633,1333,1998
6,493///,14691,103583,451242,707,1998
6,511///,152304,2467476,10247727,4682,1998
6,512///,95454,1249857,5408201,6633,1998
6,513///,182062,2245764,8734383,4901,1998
6,514///,45104,540955,2488457,2157,1998
6,521///,0,0,0,2,1998
6,522///,297803,3364099,13469818,17925,1998
6,523///,74727,2331490,8629676,7786,1998
6,524///,221729,2590560,10320990,16189,1998
6,525///,0,0,0,200,1998
6,531///,172442,1236046,5261771,30477,1998
6,532///,81629,507306,2236868,6896,1998
6,533///,3554,51090,215414,254,1998
6,541///,923030,9430965,42291124,87214,1998
6,551///,277174,4788100,18171780,4477,1998
6,561///,956896,4689218,20323452,39770,1998
6,562///,35333,281947,1203756,1418,1998
6,611///,239446,1383915,5852711,8488,1998
6,621///,486284,4059401,18160191,59596,1998
6,622///,421533,3814431,15489671,567,1998
6,623///,193846,842203,3498536,7244,1998
6,624///,168230,656824,2814422,13155,1998
6,711///,55395,913821,4753644,8557,1998
6,712///,10372,58807,255615,460,1998
